Board Number ,Board Name,Junior Kindergarten Enrolment,Kindergarten Enrolment ,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment ,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment ,Grade 8 Enrolment,Total Enrolment
B28010,Algoma DSB,612,621,628,594,646,662,670,661,645,672,"6,411"
B67202,Algonquin and Lakeshore CDSB,712,822,773,835,823,831,857,800,734,751,"7,938"
B66010,Avon Maitland DSB,948,933,966,981,"1,064","1,046","1,045","1,070","1,049","1,064","10,166"
B66001,Bluewater DSB,"1,137","1,198","1,199","1,237","1,168","1,230","1,194","1,151","1,172","1,174","11,860"
B67164,Brant Haldimand Norfolk CDSB,611,651,636,657,632,689,650,686,660,692,"6,564"
B67008,Bruce-Grey CDSB,289,273,312,287,309,286,287,248,288,246,"2,825"
B67172,CDSB of Eastern Ontario,800,823,791,887,838,872,883,844,976,950,"8,664"
B66303,CS Viamonde,"1,104","1,128","1,119","1,104","1,134","1,027","1,006",904,750,713,"9,989"
B67318,CS catholique MonAvenir,"1,368","1,431","1,440","1,446","1,432","1,466","1,320","1,299","1,289","1,100","13,591"
B28118,CS public du Grand Nord de l'Ontario,207,201,194,182,190,190,178,205,144,184,"1,875"
B28100,CSD du Nord-Est de l'Ontario,176,193,190,171,205,184,196,156,129,94,"1,694"
B29114,CSDC Franco-Nord,212,204,199,208,199,190,191,197,179,197,"1,976"
B67326,CSDC de l'Est ontarien,758,725,766,756,775,762,778,718,678,670,"7,386"
B29130,CSDC des Aurores boréales,68,69,74,71,71,76,61,73,63,62,688
B29106,CSDC des Grandes Rivières,448,420,427,406,436,401,381,422,382,393,"4,116"
B67334,CSDC du Centre-Est de l'Ontario,"1,821","1,908","1,843","1,908","1,918","1,979","1,878","1,829","1,677","1,654","18,415"
B29122,CSDC du Nouvel-Ontario,474,511,486,529,518,510,514,509,462,484,"4,997"
B67300,Conseil scolaire catholique Providence,822,867,855,796,813,817,794,817,778,768,"8,127"
B66311,CÉP de l'Est de l'Ontario,"1,237","1,228","1,201","1,285","1,223","1,210","1,126","1,081",980,947,"11,518"
B66150,DSB Niagara,"2,274","2,375","2,403","2,471","2,685","2,571","2,574","2,535","2,550","2,652","25,090"
B28002,DSB Ontario North East,396,411,421,434,420,435,417,413,401,422,"4,170"
B67083,Dufferin-Peel CDSB,"4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","49,096"
B67105,Durham CDSB,"1,268","1,321","1,367","1,515","1,584","1,505","1,539","1,449","1,540","1,509","14,597"
B66060,Durham DSB,"4,322","4,577","4,892","4,921","5,088","4,943","5,067","5,104","5,075","5,048","49,037"
B66168,Grand Erie DSB,"1,642","1,701","1,797","1,836","1,784","1,873","1,794","1,808","1,780","1,797","17,812"
B66028,Greater Essex County DSB,"2,078","2,396","2,342","2,427","2,500","2,561","2,633","2,487","2,599","2,501","24,524"
B67113,Halton CDSB,"2,083","2,148","2,306","2,309","2,350","2,384","2,318","2,253","2,242","2,280","22,673"
B66133,Halton DSB,"3,497","3,803","4,193","4,314","4,634","4,825","5,059","4,943","4,861","4,977","45,106"
B67121,Hamilton-Wentworth CDSB,"1,774","1,745","1,812","1,870","1,927","1,966","1,920","1,834","1,941","1,912","18,701"
B66141,Hamilton-Wentworth DSB,"3,410","3,588","3,535","3,505","3,596","3,617","3,608","3,574","3,518","3,591","35,542"
B66222,Hastings & Prince Edward DSB,986,974,"1,001","1,040","1,001","1,109","1,061","1,061","1,036","1,079","10,348"
B67016,Huron Perth CDSB,303,362,318,339,312,334,323,305,293,301,"3,190"
B29025,Huron-Superior CDSB,360,387,381,400,372,348,339,329,340,342,"3,598"
B66079,Kawartha Pine Ridge DSB,"2,292","2,230","2,315","2,286","2,319","2,377","2,301","2,227","2,201","2,259","22,807"
B28045,Keewatin-Patricia DSB,268,295,279,278,291,284,290,266,300,292,"2,843"
B29050,Kenora CDSB,64,92,104,92,107,128,118,118,114,107,"1,044"
B28061,Lakehead DSB,595,636,593,630,639,616,610,587,616,564,"6,086"
B66036,Lambton Kent DSB,"1,283","1,395","1,442","1,414","1,471","1,487","1,547","1,527","1,463","1,564","14,593"
B66206,Limestone DSB,"1,212","1,302","1,269","1,295","1,336","1,344","1,336","1,297","1,331","1,333","13,055"
B67032,London District Catholic School Board,"1,295","1,321","1,298","1,316","1,281","1,359","1,351","1,367","1,326","1,266","13,180"
B15199,Moose Factory Island DSAB,31,40,32,44,42,29,33,31,11,7,300
B15202,Moosonee DSAB,23,32,26,30,26,28,26,34,22,32,279
B28037,Near North DSB,603,622,670,687,672,700,657,678,663,717,"6,669"
B67156,Niagara CDSB,"1,247","1,334","1,382","1,395","1,465","1,533","1,524","1,515","1,508","1,545","14,448"
B29017,Nipissing-Parry Sound CDSB,156,161,170,173,197,215,209,191,200,184,"1,856"
B29009,Northeastern CDSB,150,185,167,147,188,197,216,201,198,173,"1,822"
B29041,Northwest CDSB,128,129,123,165,160,123,128,137,128,90,"1,311"
B67180,Ottawa CDSB,"2,603","2,840","2,801","2,916","2,913","2,873","2,761","2,732","2,983","3,104","28,526"
B66184,Ottawa-Carleton DSB,"4,470","4,678","4,853","4,910","4,975","5,048","5,058","5,104","4,753","5,087","48,936"
B66125,Peel DSB,"10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","114,251"
B79910,Penetanguishene PSSB,33,32,29,17,32,29,31,29,30,28,290
B67067,Peterborough Victoria Northumberland and Clarington CDSB,979,"1,020","1,029","1,069","1,037","1,086","1,047","1,057","1,022","1,012","10,358"
B28029,Rainbow DSB,803,820,842,863,885,917,889,865,861,878,"8,623"
B28053,Rainy River DSB,159,170,156,180,168,184,186,176,190,202,"1,771"
B67199,Renfrew County CDSB,384,367,378,369,399,375,385,325,345,363,"3,690"
B66214,Renfrew County DSB,624,614,580,613,576,597,611,601,546,600,"5,962"
B66109,Simcoe County DSB,"3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","36,466"
B67091,Simcoe Muskoka CDSB,"1,337","1,356","1,402","1,448","1,529","1,528","1,468","1,473","1,478","1,450","14,469"
B67040,St Clair CDSB,573,574,634,642,642,676,569,621,637,625,"6,193"
B29033,Sudbury CDSB,398,403,397,397,430,399,419,399,409,404,"4,055"
B29076,Superior North CDSB,65,63,58,69,70,79,79,62,77,86,708
B28070,Superior-Greenstone DSB,64,77,82,90,69,86,77,85,67,70,767
B66044,Thames Valley DSB,"4,919","5,253","5,432","5,242","5,552","5,584","5,671","5,504","5,278","5,392","53,827"
B29068,Thunder Bay CDSB,514,525,597,529,570,563,541,533,557,541,"5,470"
B67059,Toronto CDSB,"5,726","5,982","5,965","6,159","6,248","6,214","6,309","6,304","6,376","6,275","61,558"
B66052,Toronto DSB,"17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","172,967"
B66087,Trillium Lakelands DSB,"1,003","1,087","1,117","1,163","1,106","1,146","1,132","1,044","1,132","1,090","11,020"
B66192,Upper Canada DSB,"1,678","1,730","1,746","1,701","1,826","1,822","1,898","1,900","1,743","1,824","17,868"
B66117,Upper Grand DSB,"2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","23,389"
B67148,Waterloo CDSB,"1,454","1,559","1,536","1,517","1,613","1,590","1,592","1,706","1,593","1,560","15,720"
B66176,Waterloo Region DSB,"3,934","4,349","4,350","4,491","4,484","4,464","4,666","4,437","4,408","4,470","44,053"
B67130,Wellington CDSB,498,463,524,523,544,597,574,564,601,622,"5,510"
B67024,Windsor-Essex CDSB,"1,119","1,226","1,209","1,222","1,296","1,307","1,316","1,430","1,487","1,479","13,091"
B67075,York CDSB,"2,739","3,086","3,364","3,476","3,675","3,783","3,925","3,793","3,834","3,971","35,646"
B66095,York Region DSB,"6,488","7,772","8,033","8,358","8,706","8,821","9,281","8,998","8,952","9,099","84,508"
,Total,"127,242","135,542","137,300","139,443","142,256","143,915","144,072","141,698","139,762","141,039","1,392,269"
,,,,,,,,,,,,
,,,,,,,,,,,,
